0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:19 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:24 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:24 +0900] "GET /myapp/mainList HTTP/1.1" 200 8979
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:35 +0900] "GET /myapp/detail?seq=17 HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:37 +0900] "GET /myapp/mainList HTTP/1.1" 200 8979
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:38 +0900] "GET /myapp/detail?seq=17 HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:39 +0900] "GET /myapp/mainList HTTP/1.1" 200 8979
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:40 +0900] "GET /myapp/detail?seq=18 HTTP/1.1" 200 3921
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:41 +0900] "GET /myapp/mainList HTTP/1.1" 200 8979
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:18:23 +0900] "GET /myapp/mainList HTTP/1.1" 200 9221
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:18:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:18:29 +0900] "GET /myapp/detail?seq=18 HTTP/1.1" 200 3921
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:19:55 +0900] "POST /myapp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:19:55 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:19:59 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:19:59 +0900] "GET /myapp/mainList HTTP/1.1" 200 9023
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:20:01 +0900] "GET /myapp/detail?seq=18 HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:20:02 +0900] "GET /myapp/mainList HTTP/1.1" 200 9023
